Id,Element,Language,Meaning,Frequency
4203,Personal,name (Old Norse) Old Norse,Personal name,1
4204,mǣte,Old English,"Mean, poor, inferior, small, bad.",1
4205,múll,Old Norse,A mule.,1
4206,Personal,name (Old Norse) Old Norse,Personal name,1
4207,ná-,Old Norse,Near.,1
4208,nár,Old Norse,A corpse.,1
4209,Personal,name (Old Norse) Old Norse,Personal name,1
4210,Personal,name (Old Norse) Old Norse,Personal name,1
4211,Personal,name (Old Norse) Old Norse,Personal name,1
4212,pagol,Old English,A stake.,1
4213,cā,Middle English,A jackdaw.,1
4214,Personal,name (Old Norse) Old Norse,Personal name,1
4215,Personal,name (Old Norse) Old Norse,Personal name,1
4216,hrot,Old English,Scum.,1
4217,hrúðr,Old Norse,Scurf,1
4218,"topographically perhaps rough, shaly ground.",Modern English,,1
4219,Personal,name (Old Norse) Old Norse,Personal name,1
4220,Personal,name (Old Norse) Old Norse,Personal name,1
4221,Personal,name (Old Norse) Old Norse,Personal name,1
4222,Personal,name (Old Norse) Old Norse,Personal name,1
4223,Personal,name (Old Norse) Old Norse,Personal name,1
4224,Personal,name (Old Norse) Old Norse,Personal name,1
4225,seohtre,Old English,"A drain, a ditch.",1
4226,Personal,name (Old Norse) Old Norse,Personal name,1
4227,Personal,name (Old Norse) Old Norse,Personal name,1
4228,þorn,Old Norse,A hawthorn-tree.,1
4229,Personal,name (Old Norse) Old Norse,Personal name,1
4230,Personal,name (Old Norse) Old Norse,Personal name,1
4231,skip,Old Norse,A ship.,1
4232,skerpin,Old Norse,"A dried-up stream, dried-up barren land.",1
4233,Personal,name (Old Norse) Old Norse,Personal name,1
4234,sprota,Old English,"A sprout, a shoot, a twig.",2
4235,Personal,name (Old Norse) Old Norse,Personal name,1
4236,swin,Old English,"A creek, a channel.",1
4237,Personal,name (Old Norse) Old Norse,Personal name,1
4238,Personal,name (Old Norse) Old Norse,Personal name,1
4239,Personal,name (Old Norse) Old Norse,Personal name,1
4240,Personal,name (Old Norse) Old Norse,Personal name,1
4241,þvengr,Old Norse,A thong,1
4242,þweng Old English,Modern English,,1
4243,Personal,name (Old Norse) Old Norse,Personal name,1
4244,Personal,name (Old Norse) Old Norse,Personal name,1
4245,wearr,Old English,Callosity.,1
4246,wagen,Old English,A quaking bog.,1
4247,Personal,name (Old Norse) Old Norse,Personal name,1
4248,Personal,name (Old Norse) Old Norse,Personal name,1
4249,vǽtt-vangr,Old Norse,A field for the trial of a legal action.,1
4250,hvarf,Old Norse,"A bend, a nook, a corner.",2
4251,cweld Old English,Modern English,,1
4252,Personal,name (Old Norse) Old Norse,Personal name,1
4253,wið,Old English,"Against, near, beside.",2
4254,Personal,name (Old Norse) Old Norse,Personal name,1
4255,wrǣsel,Old English,"Something twisted or knotted, such as a piece of rough ground or a twisting river.",1
4256,gēap,Old English,"A steep place, a steep hill.",1
4257,Personal,name (Uncertain) Unknown,Personal name,1
4258,Personal,name (Old Norse) Old Norse,Personal name,1
4259,gaukr,Old Norse,A cuckoo.,1
4260,Personal,name (Old Norse) Old Norse,Personal name,1
4261,eiki,Old Norse,"Oaken, oak, oakwood.",2
4262,Personal,name (Old Norse) Old Norse,Personal name,1
4263,kvern,Old Norse,A hand-mill,3
4264,a mill,Modern English,,3
4265,a mill-stone.,Modern English,,3
4266,Personal,name (Old Norse) Old Norse,Personal name,1
4267,Personal,name (Old Norse) Old Norse,Personal name,1
4268,Personal,name (Old Norse) Old Norse,Personal name,1
4269,Personal,name (Old Norse) Old Norse,Personal name,1
4270,Personal,name (Old Norse) Old Norse,Personal name,1
4271,ampre,Old English,"Dock, sorrel.",1
4272,Personal,name (Uncertain) Unknown,Personal name,1
4273,þorn,Old Norse,A hawthorn-tree.,1
4274,Personal,name (Old Norse) Old Norse,Personal name,1
4275,Personal,name (Old Norse) Old Norse,Personal name,1
4276,Personal,name (Old Norse) Old Norse,Personal name,1
4277,Personal,name (Old Norse) Old Norse,Personal name,1
4278,Personal,name (Old Norse) Old Norse,Personal name,1
4279,Personal,name (Old Norse) Old Norse,Personal name,1
4280,boli,Old Norse,"A steer, a bull.",1
4281,rúm,Old Norse,"Room, space, an open space, a clearing.",1
4282,Personal,name (Old Norse) Old Norse,Personal name,1
4283,cramb,Old English,Land in the bend of a river.,2
4284,Personal,name (Old Norse) Old Norse,Personal name,1
4285,Personal,name (Old Norse) Old Norse,Personal name,1
4286,Personal,name (Old Norse) Old Norse,Personal name,1
4287,Personal,name (Old Norse) Old Norse,Personal name,1
4288,Personal,name (Old Norse) Old Norse,Personal name,1
4289,Personal,name (Uncertain) Unknown,Personal name,1
4290,wath,Middle English,Ford.,1
4291,Personal,name (Old Norse) Old Norse,Personal name,1
4292,Personal,name (Uncertain) Unknown,Personal name,1
4293,Personal,name (Old Norse) Old Norse,Personal name,1
4294,cataracta,Latin,Waterfall.,1
4295,cater C,Modern English,,1
4296,Personal,name (Old Norse) Old Norse,Personal name,1
4297,Personal,name (Old Norse) Old Norse,Personal name,1
4298,Personal,name (Old Norse) Old Norse,Personal name,1
4299,kol,Old Norse,Coal-black.,1
4300,Personal,name (Old Norse) Old Norse,Personal name,1
4301,Personal name (Old Irish) C,Modern English,,1
4302,Personal,name (Old Norse) Old Norse,Personal name,1
4303,krá,Old Norse,"A nook, a corner of land.",1
4304,þorn,Old Norse,A hawthorn-tree.,1
4305,Personal,name (Old Norse) Old Norse,Personal name,1
4306,Personal,name (Old Norse) Old Norse,Personal name,1
4307,Personal,name (Old Norse) Old Norse,Personal name,1
4308,Personal,name (Old Norse) Old Norse,Personal name,1
4309,Personal,name (Old Norse) Old Norse,Personal name,1
4310,Personal,name (Old Norse) Old Norse,Personal name,1
4311,tan,Modern English,Bark used for the production of tannin,2
4312,tannin used in tanning leather.,Modern English,,2
4313,kráka,Old Norse,"A crow, a raven.",3
4314,strengr,Old Norse,A water-course.,1
4315,epli,Old Norse,An apple.,1
4316,Personal,name (Old Norse) Old Norse,Personal name,1
4317,Personal,name (Old Norse) Old Norse,Personal name,1
4318,Personal,name (Old Norse) Old Norse,Personal name,1
4319,feðer,Old English,A feather.,1
4320,fethuru,Old Norse,Four.,1
4321,fjǫðr,Old Norse,A feather.,1
4322,Personal,name (Old Norse) Old Norse,Personal name,1
4323,flaða,Old Norse,A flat meadow.,1
4324,flagð,Old Norse,A (female) troll.,1
4325,fleaðe,Old English,A water-lily.,1
4326,fors,Old Norse,A waterfall.,1
4327,Personal,name (Old Norse) Old Norse,Personal name,1
4328,Personal,name (Old Norse) Old Norse,Personal name,1
4329,Personal,name (Old Norse) Old Norse,Personal name,1
4330,Personal,name (Old Norse) Old Norse,Personal name,1
4331,Personal,name (Uncertain) Unknown,Personal name,1
4332,Personal,name (Uncertain) Unknown,Personal name,1
4333,Personal,name (Old Norse) Old Norse,Personal name,1
4334,Personal,name (Old Norse) Old Norse,Personal name,1
4335,Personal,name (Old Norse) Old Norse,Personal name,1
4336,Personal,name (Old Norse) Old Norse,Personal name,1
4337,Personal,name (Old Norse) Old Norse,Personal name,1
4338,Personal,name (Old Norse) Old Norse,Personal name,1
4339,Personal,name (Old Norse) Old Norse,Personal name,1
4340,Personal,name (Old Norse) Old Norse,Personal name,1
4341,halm Old English,Modern English,,1
4342,Personal,name (Old Norse) Old Norse,Personal name,1
4343,Personal,name (Old Norse) Old Norse,Personal name,1
4344,Personal,name (Old Norse) Old Norse,Personal name,1
4345,Personal,name (Old Norse) Old Norse,Personal name,1
4346,hella,Old Norse,"A flat stone, a flag-stone.",1
4347,Personal,name (Uncertain) Unknown,Personal name,1
4348,sīde,Old English,A side,1
4349,Personal,name (Old Norse) Old Norse,Personal name,1
4350,Personal,name (Old Norse) Old Norse,Personal name,1
4351,horn,Old Norse,A horn,1
4352,Personal,name (Old Norse) Old Norse,Personal name,1
4353,Personal,name (Old Norse) Old Norse,Personal name,1
4354,Personal,name (Old Norse) Old Norse,Personal name,1
4355,Personal,name (Old Norse) Old Norse,Personal name,1
4356,Personal,name (Old Norse) Old Norse,Personal name,1
4357,Personal,name (Old Norse) Old Norse,Personal name,1
4358,kíll,Old Norse,A narrow bay,2
4359,probably also a narrow valley.,Modern English,,2
4360,Personal,name (Old Norse) Old Norse,Personal name,1
4361,mispeler,Old English,A medlar-tree.,1
4362,Personal,name (Old Norse) Old Norse,Personal name,1
4363,salr,Old Norse,"A dwelling, a hall.",4
4364,upp,Old Norse,"Up, higher up, upon.",1
4365,Personal,name (Old Norse) Old Norse,Personal name,1
4366,Personal,name (Uncertain) Unknown,Personal name,1
4367,lágr,Old Norse,Low.,1
4368,Personal,name (Old Norse) Old Norse,Personal name,1
4369,lopt-hús,Old Norse,A house with a loft or upper chamber.,2
4370,vallem,Latin,Valley.,1
4371,Personal,name (Old Norse) Old Norse,Personal name,1
4372,márr,Old Norse,A horse,1
4373,usually poetic.,Modern English,,1
4374,Personal,name (Old Norse) Old Norse,Personal name,1
4375,Personal,name (Old Norse) Old Norse,Personal name,1
4376,malmr,Old Norse,"Sand, a sandy field.",1
4377,Personal,name (Uncertain) Unknown,Personal name,1
4378,Personal,name (Uncertain) Unknown,Personal name,1
4379,Personal,name (Old Norse) Old Norse,Personal name,1
4380,mjór,Old Norse,"Thin, narrow, small.",1
4381,Personal,name (Old Norse) Old Norse,Personal name,1
4382,Personal,name (Old Norse) Old Norse,Personal name,1
4383,Personal,name (Old Norse) Old Norse,Personal name,1
4384,Personal,name (Old Norse) Old Norse,Personal name,1
4385,Personal,name (Old Norse) Old Norse,Personal name,1
4386,Personal,name (Old Norse) Old Norse,Personal name,1
4387,Personal,name (Old Norse) Old Norse,Personal name,1
4388,Personal,name (Old Norse) Old Norse,Personal name,1
4389,Personal,name (Uncertain) Unknown,Personal name,1
4390,Personal,name (Old Norse) Old Norse,Personal name,1
4391,Personal,name (Old Norse) Old Norse,Personal name,1
4392,val,Old French,Valley.,1
4393,Personal,name (Old Norse) Old Norse,Personal name,1
4394,Personal,name (Old Norse) Old Norse,Personal name,1
4395,hross,Old Norse,A horse.,1
4396,Personal,name (Old Norse) Old Norse,Personal name,1
4397,Personal,name (Old Norse) Old Norse,Personal name,1
4398,Personal,name (Old Norse) Old Norse,Personal name,1
4399,ruð,Old Norse,A clearing.,1
4400,sceacol,Old English,A shackle,1
4401,an iron ring to constrain a prisoner,Modern English,,1
4402,probably used of a place where animals were tied up or shackled.,Modern English,,1
4403,Personal,name (Old Norse) Old Norse,Personal name,1
4404,Personal,name (Old Norse) Old Norse,Personal name,1
4405,Personal,name (Old Norse) Old Norse,Personal name,1
4406,skraki,Old Norse,Mergansers.,1
4407,skál,Old Norse,"A bowl, a hollow.",1
4408,skor,Old Norse,"A cut, a notch, a rift in a rock or precipice.",1
4409,Personal,name (Old Norse) Old Norse,Personal name,1
4410,Personal,name (Old Norse) Old Norse,Personal name,1
4411,Personal,name (Old Norse) Old Norse,Personal name,1
4412,sinder,Old English,"Cinder, slag.",1
4413,syndri Old Norse,Modern English,,1
4414,Personal,name (Old Norse) Old Norse,Personal name,1
4415,skíð,Old Norse,"Fire-wood, a billet of wood",1
4416,"a ski, a snow-shoe.",Modern English,,1
4417,scypen,Old English,A cow-shed.,1
4418,Personal,name (Old Norse) Old Norse,Personal name,1
4419,Personal,name (Old Norse) Old Norse,Personal name,1
4420,snecche,Middle English,"A trap, a snare.",1
4421,Personal,name (Old Norse) Old Norse,Personal name,1
4422,Personal,name (Old Norse) Old Norse,Personal name,1
4423,snigill,Old Norse,A snail.,1
4424,spenn,Old English,"A clasp, a buckle",1
4425,"used topographically, perhaps of a strip of land or a fence.",Modern English,,1
4426,spenning,Old English,"Probably a hedge, a fence, an enclosure.",1
4427,spenning,Old Norse,"Probably a hedge, a fence, an enclosure.",1
4428,Personal,name (Old Norse) Old Norse,Personal name,1
4429,Personal,name (Old Norse) Old Norse,Personal name,1
4430,sveinn,Old Norse,"A young man, a servant, an attendant.",1
4431,Personal,name (Old Norse) Old Norse,Personal name,1
4432,Personal,name (Old Norse) Old Norse,Personal name,1
4433,Personal,name (Old Norse) Old Norse,Personal name,1
4434,þresk,Old Norse,"A fen, a lake.",1
4435,Personal,name (Old Norse) Old Norse,Personal name,1
4436,Personal,name (Old Norse) Old Norse,Personal name,1
4437,Personal,name (Old Norse) Old Norse,Personal name,1
4438,Personal,name (Old Norse) Old Norse,Personal name,1
4439,Personal,name (Uncertain) Unknown,Personal name,1
4440,stig-weard,Old English,A steward.,1
4441,-lauss,Old Norse,"-less, without.",1
4442,Personal,name (Old Norse) Old Norse,Personal name,1
4443,tolnere,Old English,A tax-gatherer.,1
4444,Personal,name (Old Norse) Old Norse,Personal name,1
4445,Personal,name (Old Norse) Old Norse,Personal name,1
4446,Personal,name (Old Norse) Old Norse,Personal name,1
4447,Personal,name (Old Norse) Old Norse,Personal name,1
4448,upp,Old Norse,"Up, higher up, upon.",1
4449,upp,Old Norse,"Up, higher up, upon.",1
4450,upp,Old Norse,"Up, higher up, upon.",1
4451,kona,Old Norse,A woman.,1
4452,Personal,name (Old Norse) Old Norse,Personal name,1
4453,hvirfill,Old Norse,A circle,1
4454,"something circular, eg. a hill-top, a whirlpool.",Modern English,,1
4455,hwyrfel,Old English,A circle.,1
4456,Personal,name (Old Norse) Old Norse,Personal name,1
4457,adela,Old English,"Filth, a filthy place, a sewer.",1
4458,Personal,name (Old Norse) Old Norse,Personal name,1
4459,aqua,Latin,Water.,1
4460,hōpere,Old English,A cooper.,1
4461,almenn,Old Norse,"All men, the whole community.",1
4462,arke,Middle English,"A chest, a receptacle.",1
4463,Personal,name (Old Norse) Old Norse,Personal name,1
4464,Personal,name (Old Norse) Old Norse,Personal name,1
4465,Personal,name (Old Norse) Old Norse,Personal name,1
4466,balne,Middle English,"A bath, a bathing place.",1
4467,balneum,Latin,Bathing place.,1
4468,Personal,name (Old Norse) Old Norse,Personal name,1
4469,Personal,name (Old Norse) Old Norse,Personal name,1
4470,Personal,name (Old Norse) Old Norse,Personal name,1
4471,Personal,name (Old Norse) Old Norse,Personal name,1
4472,beðme,Old English,Bottom.,1
4473,chef,Old French,A headland.,1
4474,Personal,name (Old Norse) Old Norse,Personal name,1
4475,hǫrgr,Old Norse,"A heap of stones, a cairn, an altar.",1
4476,býjar-staðr,Old Norse,A farmstead.,1
4477,bluber,Middle English,"A bubble, a bubbling spring.",1
4478,Personal,name (Old Norse) Old Norse,Personal name,1
4479,Personal,name (Old Norse) Old Norse,Personal name,1
4480,býjar-lǫg,Old Norse,A village community,3
4481,used of a small administrative district.,Modern English,,3
4482,Personal,name (Old Norse) Old Norse,Personal name,1
4483,heorð,Old English,A hearth,1
4484,"a smith's hearth, a forge.",Modern English,,1
4485,Personal,name (Old Norse) Old Norse,Personal name,1
4486,Personal,name (Old Norse) Old Norse,Personal name,1
4487,Personal,name (Uncertain) Unknown,Personal name,1
4488,Personal,name (Old Norse) Old Norse,Personal name,1
4489,haðel,Old English,"Uncertain.  Possibly derived from the root ""hath"" or ""haeth"" (heath)",1
4490,"more probably related to OE ""hatho-"" in ""hatholida"" (elbow), and used of a hollow.",Modern English,,1
4491,-et C,Modern English,,1
4492,clæpe,Old English,A noisy stream.,1
4493,Personal,name (Uncertain) Unknown,Personal name,1
4494,spa Modern English,Modern English,,1
4495,klint Old Norse,Modern English,,1
4496,clūder,Old English,A mass of rocks or debris.,1
4497,Personal,name (Old Norse) Old Norse,Personal name,1
4498,Personal,name (Uncertain) Unknown,Personal name,1
4499,Personal,name (Old Norse) Old Norse,Personal name,1
4500,dēor-tūn,Old English,"A park, a deer park.",1
4501,Personal,name (Uncertain) Unknown,Personal name,1
4502,dræge,Old English,A drag-net.,1
4503,eclẹ̄si̥ā C,Modern English,,1
4504,Personal,name (Old Norse) Old Norse,Personal name,1
4505,Personal,name (Old Norse) Old Norse,Personal name,1
4506,faereyingr,Old Norse,A Faeroese.,1
4507,Personal,name (Old Norse) Old Norse,Personal name,1
4508,Personal,name (Old Norse) Old Norse,Personal name,1
4509,Personal,name (Old Norse) Old Norse,Personal name,1
4510,Personal,name (Old Norse) Old Norse,Personal name,1
4511,Personal,name (Old Norse) Old Norse,Personal name,1
4512,feoht,Old English,"A fight, the place of a fight.  (Sometimes used of so-called sports such as cock-fighting or horse-fighting.)",1
4513,Personal,name (Old Norse) Old Norse,Personal name,1
4514,Personal,name (Old Norse) Old Norse,Personal name,1
4515,Personal,name (Uncertain) Unknown,Personal name,1
